position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
RB,35,120.3,110.6,115.7,1733/15,115.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,36,114.8,109.5,113.6,3379/30,112.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,37,110.0,106.1,113.2,3293/30,109.76666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,38,107.7,105.2,112.5,1627/15,108.46666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,39,106.6,103.2,110.8,1603/15,106.86666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,40,103.3,103.0,110.4,3167/30,105.56666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,41,98.3,98.6,108.4,3053/30,101.76666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,42,97.4,94.1,107.7,1496/15,99.733333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,43,91.8,91.8,104.7,961/10,96.1,(ttl_2023+ttl_2024+ttl_2025)/3
RB,44,91.2,86.2,89.2,1333/15,88.866666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,45,89.9,83.9,87.8,436/5,87.2,(ttl_2023+ttl_2024+ttl_2025)/3
RB,46,85.7,83.8,84.2,2537/30,84.566666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,47,83.1,80.9,83.0,247/3,82.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,48,82.6,79.4,81.9,813/10,81.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,49,80.6,78.3,81.8,2407/30,80.233333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,50,76.2,76.9,81.7,1174/15,78.266666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,51,76.2,72.4,77.8,1132/15,75.466666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,52,74.4,70.4,77.1,2219/30,73.966666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,53,72.3,65.5,75.7,427/6,71.166666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,54,71.9,65.0,75.3,1061/15,70.733333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,55,71.5,62.6,69.7,1019/15,67.933333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,56,65.4,62.6,65.7,1937/30,64.566666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,57,62.8,61.4,62.7,623/10,62.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,58,60.1,60.8,60.7,908/15,60.533333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,59,57.6,59.3,58.6,117/2,58.5,(ttl_2023+ttl_2024+ttl_2025)/3
RB,60,53.8,51.5,57.6,543/10,54.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,61,44.4,51.3,54.7,752/15,50.133333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,62,43.7,50.9,51.5,487/10,48.7,(ttl_2023+ttl_2024+ttl_2025)/3
RB,63,41.2,46.7,50.7,231/5,46.2,(ttl_2023+ttl_2024+ttl_2025)/3
RB,64,40.9,44.8,49.0,449/10,44.9,(ttl_2023+ttl_2024+ttl_2025)/3
